veg,max,fiss,r,k,leap,perm,score
0.0,0.23,50,0.03,10,0,30,1045
0.0,0.23,50,0.03,10,5,10,778
0.0,0.23,50,0.03,10,5,20,888
0.0,0.23,50,0.03,10,5,30,1021
0.0,0.23,50,0.03,10,15,10,737
0.0,0.23,50,0.03,10,15,20,623
0.0,0.23,50,0.03,10,15,30,645
0.0,0.23,50,0.04,10,0,10,845
0.0,0.23,50,0.04,10,0,20,762
0.0,0.23,50,0.04,10,0,30,699
0.0,0.23,50,0.04,10,5,10,581
0.0,0.23,50,0.04,10,5,20,628
0.0,0.23,50,0.04,10,5,30,865
0.0,0.23,50,0.04,10,15,10,553
0.0,0.23,50,0.04,10,15,20,680
0.0,0.23,50,0.04,10,15,30,484
0.0,0.23,100,0.02,10,0,10,1674
0.0,0.23,100,0.02,10,0,20,1674
0.0,0.23,100,0.02,10,0,30,1674
0.0,0.23,100,0.02,10,5,10,1674
0.0,0.23,100,0.02,10,5,20,1674
0.0,0.23,100,0.02,10,5,30,1674
0.0,0.23,100,0.02,10,15,10,1674
0.0,0.23,100,0.02,10,15,20,1674
0.0,0.23,100,0.02,10,15,30,1674
0.0,0.23,100,0.02,50,0,10,790
0.0,0.23,100,0.02,50,0,20,800
0.0,0.23,100,0.02,50,0,30,991
0.0,0.23,100,0.02,50,5,10,529
0.0,0.23,100,0.02,50,5,20,675
0.0,0.23,100,0.02,50,5,30,927
0.0,0.23,100,0.02,50,15,10,1007
0.0,0.23,100,0.02,50,15,20,888
0.0,0.23,100,0.02,50,15,30,790
0.0,0.23,100,0.03,10,0,10,1674
0.0,0.23,100,0.03,10,0,20,1674
0.0,0.23,100,0.03,10,0,30,1674
0.0,0.23,100,0.03,10,5,10,1674
0.0,0.23,100,0.03,10,5,20,1674
0.0,0.23,100,0.03,10,5,30,1674
0.0,0.23,100,0.03,10,15,10,1674
0.0,0.23,100,0.03,10,15,20,1674
0.0,0.23,100,0.03,10,15,30,1674
0.0,0.23,100,0.03,50,0,10,830
0.0,0.23,100,0.03,50,0,20,626
0.0,0.23,100,0.03,50,0,30,767
0.0,0.23,100,0.03,50,5,10,861
0.0,0.23,100,0.03,50,5,20,510
0.0,0.23,100,0.03,50,5,30,399
0.0,0.23,100,0.03,50,15,10,1510
0.0,0.23,100,0.03,50,15,20,1443
0.0,0.23,100,0.03,50,15,30,1286
0.0,0.23,100,0.04,10,0,10,1674
0.0,0.23,100,0.04,10,0,20,1674
0.0,0.23,100,0.04,10,0,30,1674
0.0,0.23,100,0.04,10,5,10,1674
0.0,0.23,100,0.04,10,5,20,1674
0.0,0.23,100,0.04,10,5,30,1674
0.0,0.23,100,0.04,10,15,10,1674
0.0,0.23,100,0.04,10,15,20,1674
0.0,0.23,100,0.04,10,15,30,1674
0.0,0.23,100,0.04,50,0,10,1127
0.0,0.23,100,0.04,50,0,20,721
0.0,0.23,100,0.04,50,0,30,594
0.0,0.23,100,0.04,50,5,10,1217
0.0,0.23,100,0.04,50,5,20,930
0.0,0.23,100,0.04,50,5,30,516
0.0,0.23,100,0.04,50,15,10,1787
0.0,0.23,100,0.04,50,15,20,1695
0.0,0.23,100,0.04,50,15,30,1675
0.0,0.23,150,0.02,10,0,10,1674
0.0,0.23,150,0.02,10,0,20,1674
0.0,0.23,150,0.02,10,0,30,1674
0.0,0.23,150,0.02,10,5,10,1674
0.0,0.23,150,0.02,10,5,20,1674
0.0,0.23,150,0.02,10,5,30,1674
0.0,0.23,150,0.02,10,15,10,1674
0.0,0.23,150,0.02,10,15,20,1674
0.0,0.23,150,0.02,10,15,30,1674
0.0,0.23,150,0.02,50,0,10,783
0.0,0.23,150,0.02,50,0,20,952
0.0,0.23,150,0.02,50,0,30,1135
0.0,0.23,150,0.02,50,5,10,808
0.0,0.23,150,0.02,50,5,20,923
0.0,0.23,150,0.02,50,5,30,1088
0.0,0.23,150,0.02,50,15,10,726
0.0,0.23,150,0.02,50,15,20,482
0.0,0.23,150,0.02,50,15,30,414
0.0,0.23,150,0.02,100,0,10,704
0.0,0.23,150,0.02,100,0,20,603
0.0,0.23,150,0.02,100,0,30,802
0.0,0.23,150,0.02,100,5,10,835
0.0,0.23,150,0.02,100,5,20,473
0.0,0.23,150,0.02,100,5,30,417
0.0,0.23,150,0.02,100,15,10,1601
0.0,0.23,150,0.02,100,15,20,1439
0.0,0.23,150,0.02,100,15,30,1353
0.0,0.23,150,0.03,10,0,10,1674
0.0,0.23,150,0.03,10,0,20,1674
0.0,0.23,150,0.03,10,0,30,1674
0.0,0.23,150,0.03,10,5,10,1674
0.0,0.23,150,0.03,10,5,20,1674
0.0,0.23,150,0.03,10,5,30,1674
0.0,0.23,150,0.03,10,15,10,1674
0.0,0.23,150,0.03,10,15,20,1674
0.0,0.23,150,0.03,10,15,30,1674
0.0,0.23,150,0.03,50,0,10,706
0.0,0.23,150,0.03,50,0,20,784
0.0,0.23,150,0.03,50,0,30,836
0.0,0.23,150,0.03,50,5,10,743
0.0,0.23,150,0.03,50,5,20,512
0.0,0.23,150,0.03,50,5,30,668
0.0,0.23,150,0.03,50,15,10,952
0.0,0.23,150,0.03,50,15,20,1143
0.0,0.23,150,0.03,50,15,30,1094
0.0,0.23,150,0.03,100,0,10,1065
0.0,0.23,150,0.03,100,0,20,736
0.0,0.23,150,0.03,100,0,30,577
0.0,0.23,150,0.03,100,5,10,1295
0.0,0.23,150,0.03,100,5,20,1032
0.0,0.23,150,0.03,100,5,30,751
0.0,0.23,150,0.03,100,15,10,1914
0.0,0.23,150,0.03,100,15,20,1820
0.0,0.23,150,0.03,100,15,30,1717
0.0,0.23,150,0.04,10,0,10,1674
0.0,0.23,150,0.04,10,0,20,1674
0.0,0.23,150,0.04,10,0,30,1674
0.0,0.23,150,0.04,10,5,10,1674
0.0,0.23,150,0.04,10,5,20,1674
0.0,0.23,150,0.04,10,5,30,1674
0.0,0.23,150,0.04,10,15,10,1674
0.0,0.23,150,0.04,10,15,20,1674
0.0,0.23,150,0.04,10,15,30,1674
0.0,0.23,150,0.04,50,0,10,971
0.0,0.23,150,0.04,50,0,20,677
0.0,0.23,150,0.04,50,0,30,570
0.0,0.23,150,0.04,50,5,10,1041
0.0,0.23,150,0.04,50,5,20,534
0.0,0.23,150,0.04,50,5,30,455
0.0,0.23,150,0.04,50,15,10,1497
0.0,0.23,150,0.04,50,15,20,1500
0.0,0.23,150,0.04,50,15,30,1462
0.0,0.23,150,0.04,100,0,10,1277
0.0,0.23,150,0.04,100,0,20,775
0.0,0.23,150,0.04,100,0,30,760
0.0,0.23,150,0.04,100,5,10,1518
0.0,0.23,150,0.04,100,5,20,1246
0.0,0.23,150,0.04,100,5,30,1256
0.0,0.23,150,0.04,100,15,10,2055
0.0,0.23,150,0.04,100,15,20,1971
0.0,0.23,150,0.04,100,15,30,1985
0.4,0.0,50,0.02,10,0,10,805
0.4,0.0,50,0.02,10,0,20,1055
0.4,0.0,50,0.02,10,0,30,1151
0.4,0.0,50,0.02,10,5,10,885
0.4,0.0,50,0.02,10,5,20,890
0.4,0.0,50,0.02,10,5,30,1151
0.4,0.0,50,0.02,10,15,10,502
0.4,0.0,50,0.02,10,15,20,365
0.4,0.0,50,0.02,10,15,30,490
0.4,0.0,50,0.03,10,0,10,661
0.4,0.0,50,0.03,10,0,20,547
0.4,0.0,50,0.03,10,0,30,951
0.4,0.0,50,0.03,10,5,10,677
0.4,0.0,50,0.03,10,5,20,525
0.4,0.0,50,0.03,10,5,30,855
0.4,0.0,50,0.03,10,15,10,898
0.4,0.0,50,0.03,10,15,20,787
0.4,0.0,50,0.03,10,15,30,762
0.4,0.0,50,0.04,10,0,10,1010
0.4,0.0,50,0.04,10,0,20,659
0.4,0.0,50,0.04,10,0,30,667
0.4,0.0,50,0.04,10,5,10,1023
0.4,0.0,50,0.04,10,5,20,677
0.4,0.0,50,0.04,10,5,30,580
0.4,0.0,50,0.04,10,15,10,1266
0.4,0.0,50,0.04,10,15,20,1098
